country,test_group,watch_time,pause_count,avg_watch_time_per_video,Webpage_clicks_per_session,Videos_completed_per_session,userid,ds,sessionid
Country4,control,3243,31,593,8,88,2112060616,05-20-2023,39a7d0fc7a
Country9,test,2090,59,1909,1,77,3759328560,05-21-2023,678d231dca
Country1,control,3474,49,522,10,4,2740553758,05-22-2023,d9e933f0a1
Country10,test,1948,49,2171,0,4,8100515911,05-23-2023,0de55ba5b6
Country3,test,2253,39,2190,1,34,9556517493,05-24-2023,ea47622e6d
Country1,control,5077,58,616,8,86,8037139052,05-15-2023,8d590aa8bb
Country8,test,3484,46,2280,1,90,1508824428,05-16-2023,7ed311096d
Country2,control,3566,45,571,9,65,2174400259,05-17-2023,df601c2385
Country10,test,1557,57,1913,1,11,4881964103,05-18-2023,935ca9939b
Country3,control,3264,53,710,7,83,7283750110,05-19-2023,4d7c1d516b
Country4,control,4196,55,622,5,51,7270449910,05-20-2023,782b7daa9a
Country2,test,3311,45,2184,1,62,5153882730,05-21-2023,c5f8409e81
Country1,test,2622,39,3110,1,16,5967860199,05-22-2023,e197d475ec
Country8,test,2150,62,463,1,72,2949208798,05-23-2023,ae740c864b
Country7,control,5212,56,582,9,13,2109585450,05-24-2023,5dd76e18ee
Country5,control,3653,66,862,7,98,7379049239,05-15-2023,5d32013dc9
Country9,control,4195,53,462,9,6,9396818173,05-16-2023,22b26e82b7
Country4,test,3451,47,3266,1,4,1325213777,05-17-2023,82989ab47a
Country10,control,3324,33,671,4,62,5795512037,05-18-2023,98cee12e67
Country7,test,2250,61,2057,2,13,6333420041,05-19-2023,1a435933c5
Country9,test,2956,51,1516,0,4,9235941982,05-20-2023,38adde7fdd
Country3,control,3805,56,565,9,44,8008300489,05-21-2023,395c56cb46
Country6,control,3500,42,627,8,11,2765997394,05-22-2023,68f2163b42
Country4,control,3211,54,636,6,96,3128652258,05-23-2023,cf42dd20d9
Country3,test,2649,51,1663,1,46,3701219587,05-24-2023,b4b787ddc2
Country2,test,2165,58,2980,1,25,6136569562,05-15-2023,15b0153081
Country8,test,2055,39,2118,2,30,9898771789,05-16-2023,381bc74d9d
Country4,control,3928,71,665,8,51,7098442424,05-17-2023,2c86bb5121
Country4,control,3334,39,528,7,13,8427207295,05-18-2023,2fd6c8b583
Country6,test,2219,43,1830,2,38,6288063937,05-19-2023,0d75e63243
Country5,test,3405,51,514,2,90,9890140840,05-20-2023,4445f39c82
Country8,control,3905,42,518,5,58,9098511217,05-21-2023,1d10ea74d4
Country3,control,3299,43,483,8,42,4054987242,05-22-2023,9c69d7332a
Country2,control,4501,58,755,5,48,9094457841,05-23-2023,5058ba53b7
Country9,control,3725,42,375,9,26,1263926021,05-24-2023,41025e113e
Country6,test,2051,46,2742,1,88,6260868707,05-15-2023,25994bcd1c
Country6,control,3798,43,589,8,81,7450284798,05-16-2023,8b8feb171a
Country4,test,2974,53,2457,1,96,5571172744,05-17-2023,3ae9e2d609
Country4,test,2065,65,2213,1,89,2330355325,05-18-2023,1dcd18e7ba
Country7,test,2796,48,2126,1,71,4665911222,05-19-2023,cf81d856d9
Country8,control,3967,37,406,9,13,8926536662,05-20-2023,51871f2efc
Country2,test,2620,65,2670,0,13,2981334337,05-21-2023,00a18ca575
Country7,control,3915,44,648,14,76,6935955881,05-22-2023,9dacc81295
Country1,control,5332,48,548,8,26,3120397729,05-23-2023,9cdea96327
Country10,test,2366,46,1507,1,41,3244526106,05-24-2023,e622267b82
Country10,control,3168,44,558,12,4,4517455661,05-15-2023,3acabaa4b3
Country4,test,2247,54,2365,0,91,3413511241,05-16-2023,58d147d4df
Country5,control,3916,51,519,11,17,7036896101,05-17-2023,bafd699236
Country5,test,1515,46,2579,2,31,5110737230,05-18-2023,d26a2199aa
Country6,control,3600,60,665,5,14,6148004791,05-19-2023,6a581f074c
Country10,test,3055,44,1197,1,86,9177871213,05-20-2023,fe547a7c65
Country5,control,3144,42,460,6,60,5870820952,05-21-2023,d5a81e9f6a
Country6,test,2134,51,1633,1,31,9113851670,05-22-2023,e41bd10e76
Country4,test,2921,54,823,1,50,4940830273,05-23-2023,ff1ebc2c17
Country5,control,4051,49,601,10,97,1737458247,05-24-2023,395f3fa56f
Country9,test,2848,37,1493,0,19,4983398423,05-15-2023,382b3fd745
Country8,control,2803,55,623,5,30,5065212473,05-16-2023,0e1ce06519
Country7,test,2504,54,1720,1,95,1847889168,05-17-2023,271646a3b9
Country6,control,4472,33,588,7,40,1907072010,05-18-2023,e37efa30bb
Country4,control,2672,37,592,10,66,9218547580,05-19-2023,141f467c58
Country2,test,2881,55,1061,1,19,2920925147,05-20-2023,cf66e5a300
Country6,control,3925,40,538,5,72,2027675358,05-21-2023,7db25f690d
Country2,test,2318,48,1602,1,16,9096565518,05-22-2023,743733921a
Country8,control,3656,56,535,8,8,1042336463,05-23-2023,376d0fd7dd
Country1,control,3908,55,701,6,63,2982731210,05-24-2023,5a1fffd85d
Country4,test,2782,47,2081,1,90,7600586631,05-15-2023,afc9d04db2
Country4,control,3957,57,439,9,77,6277863966,05-16-2023,6e60b09543
Country7,control,3450,45,525,7,37,6970698261,05-17-2023,228ffe45e7
Country8,test,3348,51,1601,1,50,6750760405,05-18-2023,9cdd2ca387
Country5,control,3514,34,745,5,76,9770671883,05-19-2023,5a2b5a3448
Country4,test,3615,43,2045,1,100,8606263333,05-20-2023,c680176269
Country6,control,4132,52,521,7,45,8783220571,05-21-2023,54be393665
Country3,control,3720,46,475,8,55,2546159462,05-22-2023,28c9079bec
Country4,test,3460,41,1953,1,3,8342814260,05-23-2023,ca8e2d68ae
Country1,test,2643,49,2924,1,27,5021519388,05-24-2023,d5a468a342
Country5,test,2719,59,2126,1,22,4005765671,05-15-2023,f182b0f132
Country7,test,2109,32,1842,1,30,6728380030,05-16-2023,7d53db3257
Country4,test,2100,44,1912,0,80,4478351757,05-17-2023,6e377da079
Country6,control,4381,52,644,8,35,4003500626,05-18-2023,7ee9be3c03
Country7,control,3938,44,567,8,10,3165767135,05-19-2023,0e51c73b6c
Country6,control,3991,24,596,10,41,2556146031,05-20-2023,3575f04ee8
Country6,test,2469,56,1584,1,68,2793575240,05-21-2023,1f2e969e1b
Country8,test,2850,26,2097,1,32,1717625579,05-22-2023,894e5e2560
Country6,test,3055,47,2060,1,6,5138236152,05-23-2023,11c9a71856
Country5,control,4516,50,698,6,83,4872572218,05-24-2023,c61b972be5
Country5,control,3125,42,607,9,93,4964414937,05-15-2023,d6fd129c01
Country6,control,3182,47,651,8,19,4338038927,05-16-2023,ff87e0c83d
Country7,control,3486,43,723,9,77,2084575274,05-17-2023,8b3d7e0b98
Country7,test,2259,55,1663,1,94,4485109622,05-18-2023,b82e1eae0a
Country2,test,2539,34,1490,1,2,9039674809,05-19-2023,8239bae132
Country2,test,2387,73,1958,1,6,4325388471,05-20-2023,431e1f5721
Country8,control,3781,60,689,8,93,6116231757,05-21-2023,acfb9cf9a8
Country3,control,3317,57,789,10,13,9931766684,05-22-2023,4fc908968c
Country8,control,4285,47,585,9,81,7085494505,05-23-2023,3aa9b2374c
Country3,test,3576,52,2003,1,14,8438082170,05-24-2023,f7cefcd000
Country10,control,3417,44,462,9,53,5039491251,05-15-2023,39d8dfa219
Country1,test,2424,59,1287,2,25,9996230929,05-16-2023,8321b84bce
Country1,test,2353,50,1396,0,7,8965024242,05-17-2023,35c6006a90
Country8,test,1762,45,1838,2,60,8678447481,05-18-2023,c82eecda7c
Country9,control,4528,37,449,9,18,6603888066,05-19-2023,3632725b7d
Country8,test,2171,35,2428,1,17,2353643669,05-20-2023,f53c969790
Country10,test,3435,62,2259,1,44,6265955094,05-21-2023,dc58534fb5
Country1,test,2012,46,1395,1,36,6705245448,05-22-2023,c49165d8fc
Country4,test,3264,45,2304,1,78,9895418934,05-23-2023,bfa8ef8290
Country4,control,3921,54,504,6,19,4399936460,05-24-2023,3a55f0c05c
Country7,control,3454,32,619,5,12,9712711433,05-15-2023,6448eced7a
Country8,control,3720,35,565,7,12,3711183524,05-16-2023,f6187ca002
Country9,control,3423,44,537,9,11,9095487274,05-17-2023,af639ef958
Country1,control,4539,46,554,5,1,6890472192,05-18-2023,ff70a21df8
Country7,test,1991,50,2227,2,30,2749138716,05-19-2023,2a957110af
Country8,control,3987,48,566,9,80,9662828537,05-20-2023,f8b032a5e6
Country2,test,2859,52,2245,1,50,2181116025,05-21-2023,9c8199b975
Country5,test,3503,34,2297,1,9,8207427144,05-22-2023,c112e61877
Country1,control,3201,49,742,5,96,2059077718,05-23-2023,b6d07a2228
Country8,test,2661,50,1551,1,82,9666387764,05-24-2023,e9c29f47f8
Country5,test,2525,46,1836,1,48,8027740005,05-15-2023,8bc76ca2d1
Country3,test,3232,55,2772,1,87,8315936531,05-16-2023,5d7ec28de6
Country2,control,4190,44,472,8,45,7612158328,05-17-2023,ad7c9ef3d6
Country3,control,3206,43,530,6,88,9020925384,05-18-2023,35acb425d4
Country10,control,3650,48,640,11,26,5961348670,05-19-2023,2f4f4092b0
Country6,test,2806,67,2507,1,44,3532296231,05-20-2023,aaf54a17af
Country10,control,4003,52,589,7,16,9820422212,05-21-2023,ccada667b8
Country8,control,4129,46,576,7,2,9283606635,05-22-2023,f2c2b9c0ab
Country6,test,2214,45,1996,1,76,8333656641,05-23-2023,f32558598a
Country1,test,2315,62,1723,1,17,8273238874,05-24-2023,fb34fbce80
Country7,control,4177,65,354,8,81,8628022918,05-15-2023,aa75a12320
Country9,control,4214,70,595,6,85,9965668179,05-16-2023,1e9005e2df
Country4,control,3185,47,527,8,3,9297560836,05-17-2023,d1067f543b
Country4,test,2381,59,2395,1,10,4928683909,05-18-2023,e08a61c489
Country4,control,3691,41,416,8,53,1553464226,05-19-2023,c42efd2685
Country10,control,4375,38,510,7,62,4748152015,05-20-2023,5d6b0347bf
Country4,control,4514,43,648,5,78,5016757016,05-21-2023,4c08803ef4
Country1,test,2652,43,2756,1,22,8937344166,05-22-2023,c35c2a6001
Country9,control,3789,48,460,8,75,7857582714,05-23-2023,1503ac217c
Country8,test,1727,41,2488,1,18,8701472441,05-24-2023,bb820bf8e9
Country1,control,4089,41,509,9,76,4680954128,05-15-2023,775080b69f
Country4,test,3027,38,2358,1,63,9200304635,05-16-2023,5574fd5af8
Country7,control,3587,48,716,5,79,8273534061,05-17-2023,9c8e88c81f
Country7,test,2899,62,2365,1,55,4472261876,05-18-2023,d912a9e16e
Country1,control,3578,29,541,8,9,2993963347,05-19-2023,d8352cbcd3
Country2,test,2255,52,1793,1,93,4997463748,05-20-2023,271ab09d60
Country4,test,2930,47,2264,0,82,6565835651,05-21-2023,a45691a9c6
Country3,control,3553,42,636,7,80,8704337588,05-22-2023,cd7bc330a7
Country5,control,3978,61,658,9,97,2522349407,05-23-2023,8d288a8a26
Country3,test,2318,51,1509,1,20,6173465559,05-24-2023,0a2590c1d5
Country9,test,2617,57,1433,1,78,3367886506,05-15-2023,c209c62aaa
Country6,control,2684,25,622,9,27,9022278417,05-16-2023,3242420a8b
Country5,test,1477,40,3051,1,94,6011690194,05-17-2023,fef5dc88a4
Country9,test,2375,55,1420,1,30,6997996486,05-18-2023,74e65e61f5
Country4,control,3449,76,364,8,22,8880450476,05-19-2023,f4b0911314
Country6,control,3608,51,645,7,70,5899974549,05-20-2023,2bc0668e10
Country4,test,1895,56,1591,2,65,4372694532,05-21-2023,2ac67b71df
Country9,control,3802,61,546,7,53,3318356879,05-22-2023,429f48a67b
Country2,control,4015,48,616,7,69,8219546641,05-23-2023,fd8e457bf2
Country1,test,1984,43,1387,1,92,4912953892,05-24-2023,a06e9e44b8
Country5,control,2667,49,650,9,44,9898141946,05-15-2023,113832bfe0
Country8,control,3384,49,606,10,45,8836389644,05-16-2023,1650c2d132
Country4,control,2446,52,559,8,9,5514361742,05-17-2023,3428a5231d
Country8,test,3118,34,1466,1,53,5362229582,05-18-2023,01b87d0fef
Country3,test,3045,61,1151,1,40,9187289554,05-19-2023,e5ef137aea
Country5,test,2230,52,3311,1,48,5022153404,05-20-2023,caddba4048
Country3,test,2507,52,2388,1,74,2657322802,05-21-2023,86ed76b8c0
Country4,test,3367,43,2199,0,18,9437138676,05-22-2023,0ad854da98
Country6,test,2989,25,1425,1,49,1335624504,05-23-2023,45a6ada8d7
Country5,test,2528,37,1990,1,4,1314598121,05-24-2023,5332959898
Country3,control,3112,48,687,7,37,8908332957,05-15-2023,1d58f5a6ab
Country9,control,3931,38,281,8,95,2107519878,05-16-2023,8901ac34ab
Country7,control,3934,34,722,4,51,2481489790,05-17-2023,5af169fcb5
Country4,control,2599,51,745,7,68,7831420491,05-18-2023,4c8914f507
Country10,control,4601,39,613,8,97,8635406066,05-19-2023,a423824c5f
Country10,test,1725,61,1917,1,34,7100162106,05-20-2023,c9cb82be96
Country3,control,3532,60,782,4,44,8479485419,05-21-2023,c4be98c48a
Country7,test,2277,66,1974,1,90,7830782344,05-22-2023,7227d475e6
Country4,test,1190,45,1535,1,42,3297767122,05-23-2023,fe0f09e1e9
Country8,control,4281,52,734,5,79,8487831394,05-24-2023,f069df14d7
Country10,test,3361,37,2215,1,25,3342035750,05-15-2023,69f7072af0
Country5,control,3567,44,527,3,29,9283045934,05-16-2023,93b069c3e9
Country8,test,2438,44,1870,2,88,6091302227,05-17-2023,24e9d1161f
Country7,control,4177,41,496,6,69,3937786585,05-18-2023,3491683c05
Country5,control,3738,45,545,7,35,4071570707,05-19-2023,a4d532bad1
Country6,control,3310,43,703,5,74,6132071504,05-20-2023,ed8fad1940
Country10,test,2247,35,1625,3,83,3294451443,05-21-2023,0033faa98c
Country5,test,1994,49,2046,0,38,1971548126,05-22-2023,aaa3e31e6b
Country3,test,3283,24,2464,1,26,7237683785,05-23-2023,0b08d4ac09
Country10,test,2888,52,1732,1,70,8987080348,05-24-2023,720fba96ec
Country4,control,4195,36,827,7,55,6680878646,05-15-2023,8f714b3f8e
Country5,control,3189,44,734,8,47,9482217458,05-16-2023,7180c340ec
Country3,test,3436,23,1760,1,34,8670571141,05-17-2023,9b711a317c
Country5,control,3392,45,585,9,23,5328987233,05-18-2023,67549f1863
Country2,control,3077,50,541,8,59,7062875833,05-19-2023,d8cecfa49d
Country1,control,3727,63,467,6,89,4163678958,05-20-2023,47d3f9b308
Country8,control,4351,42,487,10,13,5138850187,05-21-2023,1c14819171
Country7,control,3492,70,611,2,21,3727110787,05-22-2023,9617ce9a68
Country2,test,1759,36,1424,1,76,8574790593,05-23-2023,048b57b901
Country5,test,1738,56,1998,1,37,5385026713,05-24-2023,95eb5dc682
Country1,control,3187,39,647,4,33,6241361025,05-15-2023,632e27df0d
Country10,test,2325,58,2812,1,96,7828819241,05-16-2023,f73c749e81
Country5,control,2475,48,572,6,79,3608241451,05-17-2023,766abbe927
Country9,control,2766,52,484,5,12,5043259407,05-18-2023,617e51eb99
Country4,control,4075,56,516,8,64,9119150104,05-19-2023,177a079646
Country4,control,3654,43,579,10,25,5791386278,05-20-2023,819faa46d8
Country7,test,1554,44,1505,1,92,9956304530,05-21-2023,7f4a5b3409
Country2,control,3614,39,655,7,87,9641995474,05-22-2023,cd635e7a62
Country6,control,2934,50,744,10,83,2271778591,05-23-2023,984f0748d7
Country6,test,2193,56,1622,1,50,2938526465,05-24-2023,c859ba4f80
Country3,test,3098,38,1672,1,28,2195334240,05-15-2023,9811625c21
Country4,test,2165,68,2044,2,34,4461634619,05-16-2023,ba64db6319
Country7,test,2136,56,1510,1,82,6956259637,05-17-2023,18f5611c4f
Country10,control,4139,54,602,6,77,2200440023,05-18-2023,5ed7087de2
Country10,control,3111,50,610,10,86,9202957301,05-19-2023,8dbf3f2a11
Country7,test,2502,43,1869,1,44,7495840075,05-20-2023,a3daccfdb9
Country8,test,2739,26,3163,1,100,7218039595,05-21-2023,21728fd6fc
Country10,control,2790,61,589,9,52,7901557081,05-22-2023,ca1fa4472e
Country4,test,2476,63,2326,1,38,2289996619,05-23-2023,d93022f0c8
Country1,control,3731,62,596,6,42,2862636240,05-24-2023,cdfb56ffff
Country7,control,3365,53,616,7,43,5517619697,05-15-2023,d3c968095a
Country1,control,3685,44,521,6,70,1740506380,05-16-2023,34d800b1cb
Country2,test,2246,44,1507,1,38,1377349132,05-17-2023,a9ac776626
Country7,control,3643,43,474,6,84,1757810711,05-18-2023,03bb00f933
Country7,test,2161,62,3165,2,7,5351684409,05-19-2023,cd900bfcd2
Country6,test,2616,59,2241,0,89,8682111922,05-20-2023,d79c809f81
Country7,test,2386,41,2054,1,98,1200930772,05-21-2023,4508db4d74
Country6,control,4362,47,621,10,35,6674616661,05-22-2023,dcc6fb047b
Country5,test,2036,40,1154,0,34,3862208484,05-23-2023,97bca435d1
Country3,test,1975,40,1293,1,3,7962345159,05-24-2023,1e8ffadc36
Country3,test,3102,46,1764,2,21,6352066682,05-15-2023,7f801330b5
Country5,control,3916,69,792,10,53,8666956112,05-16-2023,4d498a7466
Country10,control,3464,38,600,8,97,1277012117,05-17-2023,b61be86b5b
Country6,control,4021,63,706,10,59,1375657229,05-18-2023,8a8661ac0c
Country9,control,3747,61,482,10,97,5413830197,05-19-2023,53027889c6
Country1,test,2151,48,1576,1,81,7617656560,05-20-2023,2bbc9ddade
Country8,control,4098,62,481,9,46,1041030579,05-21-2023,c019ce5e5c
Country5,control,3422,50,516,9,45,5269702698,05-22-2023,c444c19d18
Country3,control,4059,46,582,3,66,8784516174,05-23-2023,0fb0e2b4f7
Country1,test,2996,36,2083,1,29,5139948785,05-24-2023,031e991a1e
Country8,test,2830,51,3077,1,43,1095341530,05-15-2023,eb616434a7
Country6,control,3385,59,463,6,44,9052525038,05-16-2023,791a757ff5
Country5,test,2401,51,1961,1,75,2260291302,05-17-2023,366e3a3b97
Country1,test,1956,56,1643,0,30,3321859894,05-18-2023,3c32c48b8b
Country10,test,1687,55,1939,1,13,9579776974,05-19-2023,25fd7b7969
Country5,test,2800,55,1675,1,86,5384064493,05-20-2023,dae59a89ad
Country5,control,2687,40,556,7,95,8319522862,05-21-2023,03962ce355
Country9,test,2961,55,1778,1,98,1473779474,05-22-2023,acdfec46d0
Country9,control,4322,46,419,11,58,5141421295,05-23-2023,1ad1081f5b
Country10,test,1686,53,2162,0,20,3252863052,05-24-2023,126245a926
Country5,test,3013,48,1556,0,85,8480898576,05-15-2023,62763f9d98
Country6,test,2746,45,1333,1,58,8360687386,05-16-2023,f012ca1745
Country8,control,3189,40,647,12,45,2978506793,05-17-2023,6c17287b4d
Country2,control,3598,54,444,9,37,4256350484,05-18-2023,bf42a722cc
Country7,control,4516,41,569,11,2,9532198527,05-19-2023,253722c279
Country8,test,2045,51,2167,0,51,6001968572,05-20-2023,417d6029e1
Country2,test,1777,25,2621,1,75,7031811964,05-21-2023,dca982838b
Country2,test,2228,46,2026,1,8,1720137843,05-22-2023,9ba4c9856a
Country2,control,3773,34,597,8,92,5685272412,05-23-2023,81edba4fa9
Country8,test,2307,56,1572,1,55,3061033344,05-24-2023,bba9713aef
Country4,control,3459,52,644,9,36,8030821966,05-15-2023,de679a4f96
Country6,control,2811,63,646,8,70,2577448029,05-16-2023,201cb39eba
Country10,control,3533,40,736,6,53,1504812780,05-17-2023,3079f52d9a
Country10,control,2854,58,557,7,62,1092374367,05-18-2023,a5d6dfecf1
Country1,test,2320,56,2215,0,1,8439657784,05-19-2023,a1ae740a39
Country4,control,3803,43,586,10,46,7584112765,05-20-2023,cc83433e10
Country8,control,3915,55,436,3,80,5496243304,05-21-2023,402628cbc4
Country4,test,2969,46,2307,1,77,6309807165,05-22-2023,e6d12f5827
Country7,control,3846,60,443,5,7,4283692320,05-23-2023,071bb20c28
Country7,control,4046,36,506,6,82,9592663161,05-24-2023,15556c6258
Country5,test,2847,51,2638,0,12,9751820898,05-15-2023,84873ae2dc
Country7,control,3297,46,429,8,37,8112899273,05-16-2023,92f44a3a0a
Country8,control,3911,49,628,11,1,1164953508,05-17-2023,67102c558f
Country4,test,2550,41,2209,0,50,5968535512,05-18-2023,8742fe20f7
Country7,control,3293,55,597,6,52,2443532657,05-19-2023,d8560a4996
Country9,control,3537,60,670,10,56,1872720181,05-20-2023,f87d687b56
Country4,control,3786,45,546,6,89,3708892211,05-21-2023,a7ffbeb21b
Country1,test,1755,29,1731,2,37,8651876082,05-22-2023,6eb063bcde
Country8,test,2141,40,2584,0,17,6145393578,05-23-2023,c67f5d7a80
Country3,test,3072,68,1422,1,32,5399234236,05-24-2023,5686b77b19
Country7,test,2147,42,2177,1,90,3103961924,05-15-2023,a052905a17
Country2,control,3431,53,588,10,90,8684709596,05-16-2023,9e9c541128
Country1,control,3761,47,694,8,68,2265225744,05-17-2023,85833c910f
Country7,control,3133,39,608,8,7,6849121034,05-18-2023,93054413bc
Country10,test,2790,50,1972,1,80,4411903212,05-19-2023,b28a250fa1
Country10,control,4118,66,415,7,96,8246344732,05-20-2023,dcc164bf7d
Country1,control,3568,64,692,7,76,3380671508,05-21-2023,146e409e00
Country10,test,2330,70,1800,0,47,1095274273,05-22-2023,5d72b18d3b
Country4,test,2544,58,2394,1,73,1299848068,05-23-2023,2fa609e88d
Country6,test,2681,50,2378,2,23,8673379274,05-24-2023,0badedcb0a
Country1,test,2321,42,1631,1,96,2096330015,05-15-2023,b272076a19
Country3,control,3979,51,478,6,61,5568300769,05-16-2023,7e60efee2f
Country5,test,2164,37,1854,1,81,4761106536,05-17-2023,f5df109abd
Country10,test,1792,49,2385,2,56,2032012820,05-18-2023,aa2cd64eed
Country2,test,2815,53,3018,0,73,4031703387,05-19-2023,5eb1361969
Country2,test,2689,59,1930,1,74,1434165250,05-20-2023,1922539a5c
Country9,test,1920,27,1536,1,92,1360078362,05-21-2023,416dbc9f43
Country10,test,1173,37,2214,2,57,2221775161,05-22-2023,f208f2e9c8
Country1,test,2544,42,2653,1,88,1417064438,05-23-2023,a72b2c41e0
Country4,control,3834,44,691,8,1,1474998471,05-24-2023,a0bb962be2
Country3,test,2468,56,1394,1,84,3928460700,05-15-2023,354f487a10
Country2,test,2816,20,2270,1,4,8886506669,05-16-2023,ac8072c988
Country6,control,2945,29,479,7,39,7401064790,05-17-2023,5a3053e37e
Country6,control,3623,52,609,9,45,1830973091,05-18-2023,799e34156b
Country4,test,1814,27,1780,0,49,1759584041,05-19-2023,a47d86cfe4
Country8,test,1937,30,2613,2,6,8532382380,05-20-2023,495306cc3b
Country4,control,4043,25,529,8,25,5530777154,05-21-2023,301b40e5fb
Country8,control,3754,56,571,6,64,8967378794,05-22-2023,91d5f382a8
Country1,test,2084,54,1441,1,69,3912286302,05-23-2023,8a8c5cb919
Country9,test,1251,37,2064,2,71,5138822278,05-24-2023,1a6e0604fe
Country4,test,2238,38,1895,0,59,9659006032,05-15-2023,1d46b5193a
Country1,test,3512,45,2280,1,55,8510142084,05-16-2023,f967384da2
Country5,test,2812,77,2122,1,79,1357410043,05-17-2023,3d60937e21
Country7,control,3864,45,701,9,65,8053148021,05-18-2023,66794b2269
Country5,test,3074,58,2079,1,31,3270404561,05-19-2023,6374ba4afe
Country9,test,2365,44,2449,0,34,5667594650,05-20-2023,ee69468e82
Country1,control,3682,48,648,6,12,5350307263,05-21-2023,44a826940b
Country6,test,3037,57,2119,0,72,5094733321,05-22-2023,0a8b5da496
Country1,control,3740,52,624,7,46,4685213711,05-23-2023,a1b57e3fd4
Country6,test,2819,51,2078,1,14,9448576694,05-24-2023,2d535691d1
Country10,test,2845,60,1913,1,8,9025379116,05-15-2023,81052ca136
Country9,test,634,39,1742,1,27,5801176113,05-16-2023,ed9218322f
Country8,test,2698,48,2241,2,40,6366407666,05-17-2023,9275f0dd54
Country5,control,3730,47,632,9,96,7109070941,05-18-2023,8c7789d6c1
Country9,test,2287,48,2496,1,49,7635199636,05-19-2023,996195b908
Country3,test,3234,57,2888,2,96,2817585914,05-20-2023,ce962c4c50
Country4,test,2540,44,1360,0,87,3396507961,05-21-2023,14f646c522
Country8,control,4022,48,666,11,22,5416319838,05-22-2023,add0a5bd8c
Country5,test,3408,41,2373,1,34,7675520640,05-23-2023,30c11f1516
Country7,control,3583,60,604,10,93,6597676681,05-24-2023,19cb52b0a5
Country9,test,2618,39,1663,1,59,9841577833,05-15-2023,001442704d
Country2,test,3346,42,2025,1,28,1151935212,05-16-2023,27e3f97402
Country8,control,3706,46,513,4,70,7272381616,05-17-2023,f4df17f363
Country2,test,2454,61,1299,1,44,1983820536,05-18-2023,f396d70a8f
Country1,test,1927,44,2828,1,24,7034509106,05-19-2023,b0817e66e3
Country2,test,2013,45,1189,1,71,2879782935,05-20-2023,02d84865f3
Country10,test,1435,63,1585,0,1,3627930345,05-21-2023,790e578b6b
Country1,test,2522,33,2175,1,15,6747272435,05-22-2023,cbafa31c04
Country7,test,2426,44,1887,0,95,2916655065,05-23-2023,b00bdee60b
Country7,test,2680,54,3460,1,56,2475652707,05-24-2023,507ec0fbcd
Country10,test,2483,59,2333,0,80,2671937372,05-15-2023,6f24a7775f
Country10,test,2988,70,1581,1,28,5788390117,05-16-2023,6e25660ce7
Country4,test,3163,59,2003,1,1,2405958821,05-17-2023,3f8e670b82
Country4,test,2765,81,1860,1,1,9069722077,05-18-2023,98b0497168
Country10,control,2927,60,547,8,64,7446924257,05-19-2023,cf5692622a
Country1,control,3310,35,703,3,7,8666741251,05-20-2023,f5485e95e0
Country5,test,3377,45,2592,2,64,7812100600,05-21-2023,25fb569905
Country7,control,3171,64,793,10,32,8747606197,05-22-2023,8580cad059
Country10,test,2891,53,1795,2,73,4144874492,05-23-2023,bed3704a90
Country10,control,3685,41,710,10,56,2290415718,05-24-2023,6e319cc676
Country2,control,3193,54,691,9,100,8907327384,05-15-2023,ebe31bd973
Country3,test,3099,64,2509,1,58,5521996519,05-16-2023,007ebaf73c
Country9,test,2174,60,1088,1,93,6086190944,05-17-2023,9f659f7aa6
Country5,test,2394,56,2055,0,87,5418803883,05-18-2023,79b8c2690d
Country8,test,2120,64,1427,1,57,4860989412,05-19-2023,32ced4cc2d
Country9,control,2657,32,637,4,74,4560722761,05-20-2023,6dba037bce
Country7,control,3317,40,716,8,46,4541934577,05-21-2023,5715631e0f
Country9,control,4291,40,585,6,95,8452366114,05-22-2023,a398d5c666
Country3,control,2449,42,577,5,22,5910476046,05-23-2023,1ba0d2707b
Country5,control,3989,57,847,11,6,9552058095,05-24-2023,3d44d9b343
Country2,control,3791,63,545,7,41,3577167720,05-15-2023,256cb58c08
Country4,control,3645,49,570,9,34,6341634865,05-16-2023,ae71a9d0ed
Country3,control,4002,57,534,5,23,3610325297,05-17-2023,f9438f1472
Country4,test,992,55,2329,2,50,3140090215,05-18-2023,6f88d694e0
Country10,control,4186,43,601,9,77,4279783757,05-19-2023,d5b5481715
Country1,test,2575,38,1348,1,61,9219281528,05-20-2023,7c788906c4
Country1,control,3821,48,597,6,69,6589785148,05-21-2023,94704ac74c
Country4,test,2185,48,3258,1,86,2515310448,05-22-2023,de5e9de825
Country6,control,3716,58,620,10,50,6545785717,05-23-2023,f3a9072387
Country2,control,3142,41,602,6,19,1824412104,05-24-2023,69f13df65d
Country1,test,1559,47,2117,1,64,5253757155,05-15-2023,1f9c63052d
Country2,control,3349,57,873,6,55,9961158887,05-16-2023,eeba433632
Country1,test,2422,57,1345,1,86,3524386204,05-17-2023,4ed035b482
Country8,control,3205,61,640,8,75,2805155048,05-18-2023,943511ab77
Country9,test,1997,63,2313,1,46,8225317933,05-19-2023,3522a4f40e
Country4,control,3964,58,554,7,8,1658384124,05-20-2023,cd49d85821
Country7,control,3860,51,331,7,84,9291017599,05-21-2023,2e923a27f2
Country10,test,2843,70,1698,1,26,1008762750,05-22-2023,ccd9aab9a0
Country3,control,2911,53,835,6,66,1190750844,05-23-2023,5b2f7945c4
